参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P0-00,0x2000,★,DRV's Parameter  P0-00,UINT,16,ro,T,| - |,| - |,| 工厂设定 |,| All |,P0,—,| 显示伺服之韧体版本。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-01,0x2001,驱动器目前警报代码显示(七段显示器),DRV's Parameter  P0-01,UINT,16,rw,RT,| - |,| 0x0000：异警清除(同DI.ARST)。 | 0x0001 ~ 0xFFFF：显示发生中的异警代码(无法写入)。 |,| - |,| All |,P0,—,| 异警清单请参考14.1节 异警一览表。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-02,0x2002,,DRV's Parameter  P0-02,UINT,16,rw,RT,| - |,| 0 ~ 3 |,,,P0,—,| 设定驱动器CN5的Pin 13与Pin 14所连接的电机温度传感器类型(请参考3.8节)。 | 0：未接电机温度传感器 | 1：台达直线电机NTC热敏电阻 | 2：NTC准位式热敏电阻 | 3：PTC准位式热敏电阻 | 注：若PM.022 = 1时，可通过监控变量P0.002 = -145查看温度。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-03,0x2003,模拟量输出监控,DRV's Parameter  P0-03,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0077 |,| 0x0000 |,| All |,P0,—,| X | MON2 | UZ | 保留 | Y | MON1 | - | - | MON1及MON2 | 设定值 | 说明 | MON1及MON2 | 设定值 | 说明 | 0 | 电机速度 | (+/- 8 volts / 最大转速) | 4 | 扭矩命令 | (+/- 8 volts / 最大扭矩命令) | 1 | 电机扭矩 | (+/- 8 volts / 最大扭矩) | 5 | VBUS
P0-04,0x2004,保留,DRV's Parameter  P0-04,UDINT,32,rw,RT,,,,,P0,—,
P0-05,0x2005,DRV's Parameter  P0-05,DRV's Parameter  P0-05,UDINT,32,rw,RT,—,—,,—,P0,—,
P0-06,0x2006,DRV's Parameter  P0-06,DRV's Parameter  P0-06,UDINT,32,rw,RT,—,—,,—,P0,—,
P0-07,0x2007,DRV's Parameter  P0-07,DRV's Parameter  P0-07,UDINT,32,rw,RT,—,—,,—,P0,—,
P0-08,0x2008,★,DRV's Parameter  P0-08,UDINT,32,ro,T,| 小时 |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| All |,P0,—,| 显示伺服出厂至目前为止启动与Servo On的总时数。此时间为小时单位，未满1小时不会记录，而记录之时数为断电保持。 | 高位 | 低位 | DCBA | 伺服Servo On总时间 | UZYX | 伺服上电总时数 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-09,0x2009,★,DRV's Parameter  P0-09,UDINT,32,ro,T,| - |,| - |,| - |,| All |,P0,—,| 可由面板或通信设置P0.017成欲读取的状态值(请参考P0.002)。状态数据需藉由通讯端口对此通讯地址进行读取。 | 举例说明：P0.017设为3时，读取P0.009即代表读取「电机编码器回授脉冲数」；若是通过Modbus通讯方式来读取显示内容，则必须读取通讯地址0012H及0013H两个16-bit数据的内容所组成的一个32-bit数据；(0013H：0012H) = (High-word
P0-10,0x200A,★,DRV's Parameter  P0-10,UDINT,32,ro,T,| - |,| - |,| - |,| All |,P0,—,| 可由面板或通信设置P0.018成欲读取的状态值(请参考P0.002)。状态数据需藉由通讯端口对此通讯地址进行读取。由面板监控(P0.002 = 24)，显示「VAR-2」后即可显示P0.010内容。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-11,0x200B,★,DRV's Parameter  P0-11,UDINT,32,ro,T,| - |,| - |,| - |,| All |,P0,—,| 可由面板或通信设置P0.019成欲读取的状态值(请参考P0.002)。状态数据需藉由通讯端口对此通讯地址进行读取。由面板监控(P0.002 = 25)，显示「VAR-3」后即可显示P0.011内容。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-12,0x200C,★,DRV's Parameter  P0-12,UDINT,32,ro,T,| - |,| - |,| - |,| All |,P0,—,| 可由面板或通信设置P0.020成欲读取的状态值(请参考P0.002)。状态数据需藉由通讯端口对此通讯地址进行读取。由面板监控(P0.002 = 26)，显示「VAR-4」后即可显示P0.012内容。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-13,0x200D,★,DRV's Parameter  P0-13,UDINT,32,ro,T,| - |,| - |,| - |,| All |,P0,—,| 可由面板或通信设置P0.021成欲读取的状态值(请参考P0.002)。状态数据需藉由通讯端口对此通讯地址进行读取。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-14,0x200E,保留,DRV's Parameter  P0-14,UINT,16,ro,T,,,,,P0,—,
P0-15,0x200F,DRV's Parameter  P0-15,DRV's Parameter  P0-15,UINT,16,ro,T,—,—,,—,P0,—,
P0-16,0x2010,DRV's Parameter  P0-16,DRV's Parameter  P0-16,UINT,16,ro,T,—,—,,—,P0,—,
P0-17,0x2011,选择状态监控缓存器1的显示内容,DRV's Parameter  P0-17,UINT,16,rw,RT,| - |,| -300 ~ +127 |,| 0 |,| All |,P0,—,| 设定值请参考表8.3。 | 举例说明：P0.017设为7时，读取P0.009即代表读取「电机目前转速(0.1 rpm)」。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-18,0x2012,选择状态监控缓存器2的显示内容,DRV's Parameter  P0-18,UINT,16,rw,RT,| - |,| -300 ~ +127 |,| 0 |,| All |,P0,—,| 设定值请参考表8.3。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-19,0x2013,选择状态监控缓存器3的显示内容,DRV's Parameter  P0-19,UINT,16,rw,RT,| - |,| -300 ~ +127 |,| 0 |,| All |,P0,—,| 设定值请参考表8.3。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-20,0x2014,选择状态监控缓存器4的显示内容,DRV's Parameter  P0-20,UINT,16,rw,RT,| - |,| -300 ~ +127 |,| 0 |,| All |,P0,—,| 设定值请参考表8.3。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-21,0x2015,选择状态监控缓存器5的显示内容,DRV's Parameter  P0-21,UINT,16,rw,RT,| - |,| -300 ~ +127 |,| 0 |,| All |,P0,—,| 设定值请参考表8.3。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-22,0x2016,保留,DRV's Parameter  P0-22,UINT,16,ro,T,,,,,P0,—,
P0-23,0x2017,DRV's Parameter  P0-23,DRV's Parameter  P0-23,UINT,16,ro,T,—,—,,—,P0,—,
P0-24,0x2018,DRV's Parameter  P0-24,DRV's Parameter  P0-24,UINT,16,ro,T,—,—,,—,P0,—,
