参数编号,CoE Index,参数名称,类型,位宽,访问,PDO映射,默认值,所属组,示波器推荐通道
P0-00,0x2000,DRV's Parameter  P0-00,UINT,16,ro,T,-,P0,—
P0-01,0x2001,DRV's Parameter  P0-01,UINT,16,rw,RT,-,P0,—
P0-02,0x2002,DRV's Parameter  P0-02,UINT,16,rw,RT,-,P0,—
P0-03,0x2003,DRV's Parameter  P0-03,UINT,16,rw,RT,-,P0,—
P0-04,0x2004,DRV's Parameter  P0-04,UDINT,32,rw,RT,-,P0,—
P0-05,0x2005,DRV's Parameter  P0-05,UDINT,32,rw,RT,-,P0,—
P0-06,0x2006,DRV's Parameter  P0-06,UDINT,32,rw,RT,-,P0,—
P0-07,0x2007,DRV's Parameter  P0-07,UDINT,32,rw,RT,-,P0,—
P0-08,0x2008,DRV's Parameter  P0-08,UDINT,32,ro,T,-,P0,—
P0-09,0x2009,DRV's Parameter  P0-09,UDINT,32,ro,T,-,P0,—
P0-10,0x200A,DRV's Parameter  P0-10,UDINT,32,ro,T,-,P0,—
P0-11,0x200B,DRV's Parameter  P0-11,UDINT,32,ro,T,-,P0,—
P0-12,0x200C,DRV's Parameter  P0-12,UDINT,32,ro,T,-,P0,—
P0-13,0x200D,DRV's Parameter  P0-13,UDINT,32,ro,T,-,P0,—
P0-14,0x200E,DRV's Parameter  P0-14,UINT,16,ro,T,-,P0,—
P0-15,0x200F,DRV's Parameter  P0-15,UINT,16,ro,T,-,P0,—
P0-16,0x2010,DRV's Parameter  P0-16,UINT,16,ro,T,-,P0,—
P0-17,0x2011,DRV's Parameter  P0-17,UINT,16,rw,RT,-,P0,—
P0-18,0x2012,DRV's Parameter  P0-18,UINT,16,rw,RT,-,P0,—
P0-19,0x2013,DRV's Parameter  P0-19,UINT,16,rw,RT,-,P0,—
P0-20,0x2014,DRV's Parameter  P0-20,UINT,16,rw,RT,-,P0,—
P0-21,0x2015,DRV's Parameter  P0-21,UINT,16,rw,RT,-,P0,—
P0-22,0x2016,DRV's Parameter  P0-22,UINT,16,ro,T,-,P0,—
P0-23,0x2017,DRV's Parameter  P0-23,UINT,16,ro,T,-,P0,—
P0-24,0x2018,DRV's Parameter  P0-24,UINT,16,ro,T,-,P0,—
P0-25,0x2019,DRV's Parameter  P0-25,UDINT,32,rw,RT,-,P0,—
P0-26,0x201A,DRV's Parameter  P0-26,UDINT,32,rw,RT,-,P0,—
P0-27,0x201B,DRV's Parameter  P0-27,UDINT,32,rw,RT,-,P0,—
P0-28,0x201C,DRV's Parameter  P0-28,UDINT,32,rw,RT,-,P0,—
P0-29,0x201D,DRV's Parameter  P0-29,UDINT,32,rw,RT,-,P0,—
P0-30,0x201E,DRV's Parameter  P0-30,UDINT,32,rw,RT,-,P0,—
P0-31,0x201F,DRV's Parameter  P0-31,UDINT,32,rw,RT,-,P0,—
P0-32,0x2020,DRV's Parameter  P0-32,UDINT,32,rw,RT,-,P0,—
P0-33,0x2021,DRV's Parameter  P0-33,UINT,16,ro,T,-,P0,—
P0-34,0x2022,DRV's Parameter  P0-34,UINT,16,ro,T,-,P0,—
P0-35,0x2023,DRV's Parameter  P0-35,UDINT,32,rw,RT,-,P0,—
P0-36,0x2024,DRV's Parameter  P0-36,UDINT,32,rw,RT,-,P0,—
P0-37,0x2025,DRV's Parameter  P0-37,UDINT,32,rw,RT,-,P0,—
P0-38,0x2026,DRV's Parameter  P0-38,UDINT,32,rw,RT,-,P0,—
P0-39,0x2027,DRV's Parameter  P0-39,UDINT,32,rw,RT,-,P0,—
P0-40,0x2028,DRV's Parameter  P0-40,UDINT,32,rw,RT,-,P0,—
P0-41,0x2029,DRV's Parameter  P0-41,UDINT,32,rw,RT,-,P0,—
P0-42,0x202A,DRV's Parameter  P0-42,UDINT,32,rw,RT,-,P0,—
P0-43,0x202B,DRV's Parameter  P0-43,UINT,16,ro,T,-,P0,—
P0-44,0x202C,DRV's Parameter  P0-44,UDINT,32,ro,T,-,P0,—
P0-45,0x202D,DRV's Parameter  P0-45,UINT,16,rw,RT,-,P0,—
P0-46,0x202E,DRV's Parameter  P0-46,UINT,16,ro,T,-,P0,—
P0-47,0x202F,DRV's Parameter  P0-47,UINT,16,ro,T,-,P0,—
P0-48,0x2030,DRV's Parameter  P0-48,UINT,16,ro,T,-,P0,—
P0-49,0x2031,DRV's Parameter  P0-49,UINT,16,rw,RT,-,P0,—
P0-50,0x2032,DRV's Parameter  P0-50,UINT,16,ro,T,-,P0,—
